Equivalence Partitioning,
,
Function that validates credit card numbers between 13 and 16 digits,
Input,Output
1643592846132,Valid
1346251436257944,Valid
142865431254,Invalid
17563298456321504,Invalid
45123675f65482,Invalid
,
Function that validates dates.,
Input (DD/MM/YYYY),Output
15/2/1900,Valid
27/5/2100,Valid
3/1/2007,Valid
12/12/2012,Valid
1/6/2003,Valid
31/10/1990,Valid
6/5/1899,Invalid
8/11/2101,Invalid
9/0/2045,Invalid
6/13/2011,Invalid
0/7/2014,Invalid
32/4/1975,Invalid
,
Function that checks the eligibility of a passenger to book a flight.,
Input (Age/ Frecuent Flyer),Output
18/True,Eligible
40/False,Eligible
65/False,Eligible
17/True,Not Eligible
66/False,Not Eligible
,
Function that validates URLs.,
Input,Output
https://ejemplo.com/directorio/subdirectorio/documentos/proyectos/2026/informes/analisis/enero/final/reporte_de6464616161435316143561649465361614653345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678908901.pdf,Valid
http://ejemplo.com/directorio/subdirectorio/documentos/proyectos/2026/informes/analisis/enero/final/reporte_de6901.pdf,Valid
ejemplo.com/directorio/subdirectorio/documentos/proyectos/2026/informes/analisis/enero/final/reporte_de6901.pdf,Invalid
https://ejemplo.com/directorio/subdirectorio/documentos/proyectos/2026/informes/analisis/enero/final/reporte_de6943295479427217196274915427592452947295284924731497234722020281822817*80418012014201824081489984729802190417106746746246240796285*852960701.pdf,Invalid
,
,
Boundary Value Analysis,
,
Function that calculates the eligibility of a person for a loan based on their income and credit score.,
Input,Output
"$29,999/850",Not eligible
"$30,000/701",Eligible (Standard)
"$60,000/800",Eligible (Standard)
"$45,000/700",Eligible (Secured)
"$60,001/751",Eligible(Premium)
"$75,000/700",Eligible(Standard)
"$80,000/750",Eligible(Standard)
,
Function that determines the category of a product in an e-commerce system based on its price.,
Input,Output
$0,No category
$10,Category A
$50,Category A
$51,Category B
$100,Category B
$101,Category C
$200,Category C
$201,Category D
,
Function that calculates the cost of shipping for packages based on their weight and dimensions.,
Input,Output
1 Kg/ (10/10/10 cm),$5
2 Kg/ (15/12/17 cm),$10
3 Kg/ (11/11/11 cm),$10
4 Kg/ (30/30/30 cm),$10
5 Kg/ (25/25/25 cm),$10
6 Kg/ (10/10/10 cm),$20
3 Kg/ (31/25/15 cm),$20
,
Create the decision table for a system that provides weather advisories based on temperature and humidity.,
Input (T/Humidity),Output
31/71,High temperature and humidity. Stay hydrated.
-1/65,Low temperature. Don't forget your jacket!
0/55,No recommendation
30/71,No recommendation
31/70,No recommendation
,
,
Create the decision table for a system that authenticates users based on their username and password.,
Input (Username/ Password),Output
"""admin""/""admin123""",Admin
"""Henry""/""1234567890""",User
"""Sergio""/""12e4s678""",User
"""Hola""/""qwertyuiop""",Invalid
"""Johnny123""/""f1g5sd2""",Invalid
